CodeIndex,Printer,InkCode,Inventory,IT-Warehouse,Admin,Account,CTU,EI,IT,Estate,MolEPI,BioStats,Modelling,PE,Malaria,CNS,Dengue,TB,Lab,MicroLab,Zoonoses,VA-ward,InkTotal,OrderQuantity,OrderDate,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
103AD,Neverstop Laser 1000w,103AD,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE255A ,P3015 ,CE255A ,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE278A,M1536dnf,CE278A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE285A,P1102W,CE285A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE400A,M551 color,CE400A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE401A,M551 color,CE401A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE402A,M551 color,CE402A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE403A,M551 color,CE403A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE410A,M451dn color,CE410A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE411A,M451dn color,CE411A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE412A,M451dn color,CE412A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
CE413A,M451dn color,CE413A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/2022 0:00,0,0,0,0,0,0,0,0,0,0,0,0
