CodeIndex,Printer,InkCode,Inventory,IT-Warehouse,Admin,Account,CTU,EI,Estate,Modelling,PE,Malaria,CNS,Dengue,TB,Lab,MicroLab,Zoonoses,VA-ward,InkTotal,OrderQuantity,OrderDate
103AD,Neverstop Laser 1000w,103AD,3,IT-R212,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,2021-09-05 00:00:00
CE255A ,P3015 ,CE255A ,2,IT-R212,6,1,5,0,1,0,0,0,0,0,0,0,0,0,0,10,5,2021-09-05 00:00:00
CE278A,M1536dnf,CE278A,3,IT-R212,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,2021-09-05 00:00:00
CE285A,P1102W,CE285A,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2021-09-02 00:00:00
CE400A,M551 color,CE400A,2,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2021-09-02 00:00:00
CE401A,M551 color,CE401A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE402A,M551 color,CE402A,2,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2021-09-02 00:00:00
CE403A,M551 color,CE403A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE410A,M451dn color,CE410A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE411A,M451dn color,CE411A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE412A,M451dn color,CE412A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE413A,M451dn color,CE413A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CE505A,P2055dn,CE505A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF226A,M402dne,CF226A,1,IT-R212,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,2021-09-02 00:00:00
CF230A,,CF230A,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-06 00:00:00
CF232A ,M203dw,CF232A ,0,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF248A,LaserJet Pro M15w,CF248A,1,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF276A,M404dw,CF276A,5,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF280A,M425dn,CF280A,5,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF283A,M225dw,CF283A,5,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF287A,M506 ,CF287A,5,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF360A,M553 color,CF360A,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-06 00:00:00
CF361A,M553 color,CF361A,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
CF362A,M553 color,CF362A,5,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2021-09-06
CF363A,M553 color,CF363A,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T1431,EPSON 82WD color,T1431,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T1432,EPSON 82WD color,T1432,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T1433,EPSON 82WD color,T1433,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T1434,EPSON 82WD color,T1434,3,IT-R212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T6781,EPSON WP-4511 color,T6781,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T6782,EPSON WP-4511 color,T6782,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T6783,EPSON WP-4511 color,T6783,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
T6784,EPSON WP-4511 color,T6784,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
W1107A,HP LaserJet 107W ,W1107A,4,IT-R212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-02 00:00:00
